C,T,M,Nome,Squadra,Quotazione,ID,EID
P,P,Por,Meret,Napoli,19,572,572
P,P,Por,De Gea,Fiorentina,19,2521,2521
P,P,Por,Milinkovic-Savic V.,Torino,18,2170,2170
P,P,Por,Sommer,Inter,16,2428,2428
P,P,Por,Maignan,Milan,15,4312,4312
P,P,Por,Stankovic F.,Venezia,15,6248,6248
P,P,Por,Carnesecchi,Atalanta,14,4431,4431
P,P,Por,Leali,Genoa,14,188,188
P,P,Por,Di Gregorio,Juventus,14,5876,5876
P,P,Por,Turati,Monza,13,4867,4867
P,P,Por,Skorupski,Bologna,12,133,133
P,P,Por,Svilar,Roma,12,5841,5841
P,P,Por,Vasquez D.,Empoli,11,6125,6125
P,P,Por,Provedel,Lazio,10,2814,2814
P,P,Por,Falcone,Lecce,10,2134,2134
P,P,Por,Caprile,Cagliari,10,4360,4360
P,P,Por,Reina,Como,8,387,387
P,P,Por,Suzuki,Parma,8,6641,6641
P,P,Por,Sava,Udinese,7,6842,6842
P,P,Por,Ravaglia F.,Bologna,6,2722,2722
P,P,Por,Okoye,Udinese,6,6462,6462
P,P,Por,Perin,Juventus,5,218,218
P,P,Por,Montipo',Verona,5,4957,4957
P,P,Por,Sherri,Cagliari,4,6650,6650
P,P,Por,Pizzignacco,Monza,4,6682,6682
P,P,Por,Butez,Como,4,6966,6966
P,P,Por,Scuffet,Napoli,3,574,574
P,P,Por,Radu I.,Venezia,3,1843,1843
P,P,Por,Terracciano,Fiorentina,2,2815,2815
P,P,Por,Gollini,Roma,2,610,610
P,P,Por,Joronen,Venezia,2,4425,4425
P,P,Por,Rui Patricio,Atalanta,2,4270,4270
P,P,Por,Rossi F.,Atalanta,1,2297,2297
P,P,Por,Bagnolini,Bologna,1,5822,5822
P,P,Por,Vigorito,Como,1,2809,2809
P,P,Por,Martinelli T.,Fiorentina,1,6184,6184
P,P,Por,Sommariva,Genoa,1,219,219
P,P,Por,Di Gennaro,Inter,1,1926,1926
P,P,Por,Martinez Jo.,Inter,1,5116,5116
P,P,Por,Pinsoglio,Juventus,1,1930,1930
P,P,Por,Furlanetto,Lazio,1,6417,6417
P,P,Por,Mandas,Lazio,1,6482,6482
P,P,Por,Fruchtl,Lecce,1,2401,2401
P,P,Por,Samooja,Lecce,1,6523,6523
P,P,Por,Nava,Milan,1,6505,6505
P,P,Por,Sportiello,Milan,1,4,4
P,P,Por,Contini,Napoli,1,2845,2845
P,P,Por,Corvi,Parma,1,6662,6662
P,P,Por,Paleari,Torino,1,5320,5320
P,P,Por,Padelli,Udinese,1,543,543
P,P,Por,Grandi,Venezia,1,6671,6671
P,P,Por,Berardi A.,Verona,1,4491,4491
P,P,Por,Perilli,Verona,1,511,511
P,P,Por,Brancolini,Empoli,1,4351,4351
P,P,Por,Ciocci,Cagliari,1,4929,4929
P,P,Por,Torriani,Milan,1,6813,6813
P,P,Por,Donnarumma An.,Torino,1,216,216
